1.000000,0.648270,4.119688 
1.000000,0.731209,4.282233 
1.000000,0.236833,3.486582 
1.000000,0.969788,4.655492 
1.000000,0.607492,3.965162 
1.000000,0.358622,3.514900 
1.000000,0.147846,3.125947 
1.000000,0.637820,4.094115 
1.000000,0.230372,3.476039 
1.000000,0.070237,3.210610 
1.000000,0.067154,3.190612 
1.000000,0.925577,4.631504 
1.000000,0.717733,4.295890 
1.000000,0.015371,3.085028 
1.000000,0.335070,3.448080 
1.000000,0.040486,3.167440 
1.000000,0.212575,3.364266 
1.000000,0.617218,3.993482 
1.000000,0.541196,3.891471 
1.000000,0.045353,3.143259 
1.000000,0.126762,3.114204 
1.000000,0.247809,3.476346 
1.000000,0.138306,3.149813 
1.000000,0.132791,3.110301 
1.000000,0.033859,3.156393 
